"Data Source","World Development Indicators","","","","","","","","","",""

"Country Name","Country Code","Indicator Name","Indicator Code","2010","2011","2012","2013","2014","2015","2016","2017"
"Aruba","ABW","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","",""
"Afghanistan","AFG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","65.24559","66.83573","66.02317","61.36674","59.01033","61.25266","56.28705","56.91081"
"Angola","AGO","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","33.78725","33.10419","33.4155","34.66392","32.97403","32.72987","31.78539","32.3885"
"Albania","ALB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","21.27783","22.77254","20.57826","19.93852","18.88395","19.51254","18.18993","18.2006"
"Andorra","AND","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","12.8072","13.27351","12.40705","11.81367","10.83042","11.46218","10.25583","10.30762"
"Arab World","ARB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","53.787","52.65228","53.29727","54.05382","52.5836","60.40681","58.7649","58.68926"
"United Arab Emirates","ARE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","38.98007","39.19343","39.27713","39.60816","37.98342","42.33499","40.5221","40.91751"
"Argentina","ARG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","16.8591","17.38298","16.13507","15.59738","14.46698","14.63163","13.75144","13.31183"
"Armenia","ARM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","37.53004","38.61228","37.18448","34.93721","33.08595","34.88143","32.22717","32.52812"
"American Samoa","ASM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","15.07272","15.39064","14.34415","14.12723","13.31699","13.01939","12.38273","12.47382"
"Antigua and Barbuda","ATG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","22.52888","23.14786","21.47105","20.73539","19.72558","19.69639","18.46093","18.62234"
"Australia","AUS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","10.61888","11.04726","10.53709","9.987684","9.492979","9.320015","8.614509","8.550324"
"Austria","AUT","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","15.14914","15.57337","14.28233","14.08161","13.37923","13.5411","12.59682","12.47797"
"Azerbaijan","AZE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","23.0476","23.62987","22.18081","22.27878","20.71007","21.41412","20.20816","19.92866"
"Burundi","BDI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","38.38117","38.23619","41.01133","39.97107","39.38756","38.43088","38.65322","38.89627"
"Belgium","BEL","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","16.00932","15.69844","14.74189","14.02267","13.23362","13.56652","12.83309","12.88652"
"Benin","BEN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","32.39297","32.58085","31.992","31.4433","29.66046","40.47068","38.4477","38.99996"
"Burkina Faso","BFA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","37.49133","37.28138","38.78415","33.2872","33.96909","46.56217","41.53724","42.93559"
"Bangladesh","BGD","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","70.765","70.21055","70.79391","65.64508","68.39538","66.96575","60.12627","60.84578"
"Bulgaria","BGR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","22.7562","24.30033","22.64466","20.99964","20.74357","20.77643","19.28301","19.14913"
"Bahrain","BHR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","65.63088","63.7325","70.28748","67.79468","62.75854","72.60468","69.86418","70.81621"
"Bahamas, The","BHS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","21.11051","21.77442","20.31708","19.9094","18.49533","18.88631","17.65132","17.36772"
"Bosnia and Herzegovina","BIH","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","32.30016","34.19187","31.77326","30.44623","28.77733","29.62284","27.59447","27.74767"
"Belarus","BLR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","23.31941","22.91115","21.64637","20.59046","19.76605","20.07628","18.87824","18.76558"
